Sample in Buffer,Sample in Window,TRIGGER,design_1_i/axis_data_fifo_0_m_axis_tvalid,design_1_i/sticky_bit_0_signal_out,design_1_i/axis_data_fifo_0_m_axis_tdata[31:0],design_1_i/util_vector_logic_0_Res
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,1,1,02d3fe60,1
1,1,0,1,1,ffe3fdb1,1
2,2,0,1,1,ff52fdfe,1
3,3,0,1,1,fcbcff9b,1
4,4,0,1,1,02b60181,1
5,5,0,1,1,024efebc,1
6,6,0,1,1,0184fdd5,1
7,7,0,1,1,ff21fd32,1
8,8,0,1,1,004f02fc,1
9,9,0,1,1,028f01e8,1
10,10,0,1,1,0320005b,1
11,11,0,1,1,0278fe64,1
12,12,0,1,1,fd9a0119,1
13,13,0,1,1,ff180353,1
14,14,0,1,1,00e102b5,1
15,15,0,1,1,02900258,1
16,16,0,1,1,feeffec6,1
17,17,0,1,1,fd3a00a0,1
18,18,0,1,1,fe2f019d,1
19,19,0,1,1,ff760364,1
20,20,0,1,1,00c9fe50,1
21,21,0,1,1,fe48fe5c,1
22,22,0,1,1,fddbfed0,1
23,23,0,1,1,fd3701be,1
24,24,0,1,1,0243ffca,1
25,25,0,1,1,0045fdf3,1
26,26,0,1,1,fff2fdad,1
27,27,0,1,1,fd65ff67,1
28,28,0,1,1,01a3021e,1
29,29,0,1,1,01d7ffd0,1
30,30,0,1,1,0214fe7b,1
31,31,0,1,1,ff2efdd4,1
32,32,0,1,1,ff470257,1
33,33,0,1,1,00be012d,1
34,34,0,1,1,02380083,1
35,35,0,1,1,01b2fecb,1
36,36,0,1,1,fda600cb,1
37,37,0,1,1,ff5401d8,1
38,38,0,1,1,009e0202,1
39,39,0,1,1,01db021a,1
40,40,0,1,1,fe4dfec2,1
41,41,0,1,1,fdf300ac,1
42,42,0,1,1,fefa00d2,1
43,43,0,1,1,ff5902e9,1
44,44,0,1,1,00a9fe0e,1
45,45,0,1,1,fe53fe75,1
46,46,0,1,1,ff1dff50,1
47,47,0,1,1,fd86016c,1
48,48,0,1,1,01b00046,1
49,49,0,1,1,0072fe3c,1
50,50,0,1,1,000afe8b,1
51,51,0,1,1,fdbcffb8,1
52,52,0,1,1,00c70109,1
53,53,0,1,1,0150ff23,1
54,54,0,1,1,01a2fe71,1
55,55,0,1,1,fed3fe2e,1
56,56,0,1,1,ffcf010a,1
57,57,0,1,1,019d00c0,1
58,58,0,1,1,02ce005f,1
59,59,0,1,1,0149ff13,1
60,60,0,1,1,ff58000a,1
61,61,0,1,1,ffb901a3,1
62,62,0,1,1,012a025d,1
63,63,0,1,1,00d9019f,1
64,64,0,1,1,ffa8ff9f,1
65,65,0,1,1,febc00d4,1
66,66,0,1,1,ff4a01b9,1
67,67,0,1,1,ff540232,1
68,68,0,1,1,0080ff5f,1
69,69,0,1,1,fea5ff4a,1
70,70,0,1,1,fe710074,1
71,71,0,1,1,fd9801f7,1
72,72,0,1,1,0121ffe3,1
73,73,0,1,1,ffb8fea2,1
74,74,0,1,1,ff27fe3e,1
75,75,0,1,1,fc06ffa3,1
76,76,0,1,1,012200ea,1
77,77,0,1,1,00dcfeed,1
78,78,0,1,1,018cfec5,1
79,79,0,1,1,feaefd4f,1
80,80,0,1,1,006501a1,1
81,81,0,1,1,01890082,1
82,82,0,1,1,02280087,1
83,83,0,1,1,00c3fe76,1
84,84,0,1,1,fee001c6,1
85,85,0,1,1,0028022a,1
86,86,0,1,1,00f5026e,1
87,87,0,1,1,018100bc,1
88,88,0,1,1,fe84ffe1,1
89,89,0,1,1,fe090126,1
90,90,0,1,1,fea001a4,1
91,91,0,1,1,ff100223,1
92,92,0,1,1,ff97ff34,1
93,93,0,1,1,fe0eff01,1
94,94,0,1,1,fe2dff7a,1
95,95,0,1,1,fd4900cd,1
96,96,0,1,1,001fff50,1
97,97,0,1,1,ff45fe3f,1
98,98,0,1,1,ffacfe83,1
99,99,0,1,1,fd84fec2,1
100,100,0,1,1,0173fff4,1
101,101,0,1,1,0165fde6,1
102,102,0,1,1,0193fe26,1
103,103,0,1,1,ff43fd20,1
104,104,0,1,1,00d20198,1
105,105,0,1,1,02100078,1
106,106,0,1,1,027100c5,1
107,107,0,1,1,0169feea,1
108,108,0,1,1,fe8301a2,1
109,109,0,1,1,fff5027b,1
110,110,0,1,1,009b0275,1
111,111,0,1,1,01210146,1
112,112,0,1,1,fe3d0015,1
113,113,0,1,1,fe190093,1
114,114,0,1,1,ff2c00f2,1
115,115,0,1,1,ff0c0157,1
116,116,0,1,1,ff16fde2,1
117,117,0,1,1,fddffe96,1
118,118,0,1,1,fed90000,1
119,119,0,1,1,fe0400e4,1
120,120,0,1,1,0168ff0c,1
121,121,0,1,1,0037fdaa,1
122,122,0,1,1,0013ff34,1
123,123,0,1,1,fe73ff56,1
124,124,0,1,1,01b300a8,1
125,125,0,1,1,023dfebb,1
126,126,0,1,1,0147ff3a,1
127,127,0,1,1,feccfec4,1
128,128,0,1,1,007c01ce,1
129,129,0,1,1,01e3011a,1
130,130,0,1,1,01b900d6,1
131,131,0,1,1,ffb9ff2d,1
132,132,0,1,1,fe5401b9,1
133,133,0,1,1,ffd8025f,1
134,134,0,1,1,00ba0248,1
135,135,0,1,1,0038ffb4,1
136,136,0,1,1,fe11ff36,1
137,137,0,1,1,fe0b007f,1
138,138,0,1,1,fecd014f,1
139,139,0,1,1,ff8300af,1
140,140,0,1,1,ffeffe39,1
141,141,0,1,1,fe85fe71,1
142,142,0,1,1,fea30049,1
143,143,0,1,1,fe9f00c3,1
144,144,0,1,1,013eff4d,1
145,145,0,1,1,00b4fe9c,1
146,146,0,1,1,ff7eff36,1
147,147,0,1,1,fdd6ffa3,1
148,148,0,1,1,01d5009b,1
149,149,0,1,1,0157ff5e,1
150,150,0,1,1,0096ff24,1
151,151,0,1,1,fe2efe42,1
152,152,0,1,1,000d0206,1
153,153,0,1,1,00f7011f,1
154,154,0,1,1,0144006b,1
155,155,0,1,1,ff8dfde2,1
156,156,0,1,1,fe7b011b,1
157,157,0,1,1,ff5f0151,1
158,158,0,1,1,007f0111,1
159,159,0,1,1,00b4feae,1
160,160,0,1,1,fee1ff47,1
161,161,0,1,1,fed4ffec,1
162,162,0,1,1,ffec0106,1
163,163,0,1,1,00b4004c,1
164,164,0,1,1,ffe6ff2d,1
165,165,0,1,1,fef7ff6f,1
166,166,0,1,1,ff4700e4,1
167,167,0,1,1,ff55012d,1
168,168,0,1,1,00f8ff99,1
169,169,0,1,1,ffd6fe9f,1
170,170,0,1,1,ff0bffc9,1
171,171,0,1,1,fd9a0046,1
172,172,0,1,1,00f800e8,1
173,173,0,1,1,00ddff38,1
174,174,0,1,1,002cff09,1
175,175,0,1,1,fdacfe10,1
176,176,0,1,1,fff7014c,1
177,177,0,1,1,01080003,1
178,178,0,1,1,018fffcf,1
179,179,0,1,1,ffbefce8,1
180,180,0,1,1,ff48018e,1
181,181,0,1,1,00c200ec,1
182,182,0,1,1,01650167,1
183,183,0,1,1,01c5fe4f,1
184,184,0,1,1,fe200017,1
185,185,0,1,1,ff4400be,1
186,186,0,1,1,ffb101e4,1
187,187,0,1,1,014500c4,1
188,188,0,1,1,ff56feca,1
189,189,0,1,1,fed4ffab,1
190,190,0,1,1,fec50149,1
191,191,0,1,1,ff0301b8,1
192,192,0,1,1,0043ff3c,1
193,193,0,1,1,ff46fee3,1
194,194,0,1,1,fe51ffdb,1
195,195,0,1,1,fcd8ffcc,1
196,196,0,1,1,00edfff4,1
197,197,0,1,1,00bafe75,1
198,198,0,1,1,ffdefe6f,1
199,199,0,1,1,fe06fcd7,1
200,200,0,1,1,006b0152,1
201,201,0,1,1,01baffde,1
202,202,0,1,1,0186ffab,1
203,203,0,1,1,00c5fd4d,1
204,204,0,1,1,feb6016b,1
205,205,0,1,1,010901b1,1
206,206,0,1,1,01890169,1
207,207,0,1,1,0201fe9d,1
208,208,0,1,1,fe25ff8c,1
209,209,0,1,1,fee40150,1
210,210,0,1,1,ffcf0243,1
211,211,0,1,1,0154010b,1
212,212,0,1,1,ffaffe72,1
213,213,0,1,1,fe6bff97,1
214,214,0,1,1,fe37018f,1
215,215,0,1,1,ff000156,1
216,216,0,1,1,00baff25,1
217,217,0,1,1,ff82fe8f,1
218,218,0,1,1,fdfaff52,1
219,219,0,1,1,fdbaff5e,1
220,220,0,1,1,01440013,1
221,221,0,1,1,00ebfe6c,1
222,222,0,1,1,0006fe3a,1
223,223,0,1,1,fe14fd81,1
224,224,0,1,1,007c0156,1
225,225,0,1,1,01fe0026,1
226,226,0,1,1,01c3ff85,1
227,227,0,1,1,0097fcb5,1
228,228,0,1,1,fee70133,1
229,229,0,1,1,00db01c8,1
230,230,0,1,1,019d01ae,1
231,231,0,1,1,0283fe6f,1
232,232,0,1,1,feabff50,1
233,233,0,1,1,fea40143,1
234,234,0,1,1,ff3d0279,1
235,235,0,1,1,015a0123,1
236,236,0,1,1,004fff31,1
237,237,0,1,1,fe8eff84,1
238,238,0,1,1,fde70124,1
239,239,0,1,1,ff720127,1
240,240,0,1,1,0068ffee,1
241,241,0,1,1,ff72fedd,1
242,242,0,1,1,fdf7ff14,1
243,243,0,1,1,fd83ffa9,1
244,244,0,1,1,009a002d,1
245,245,0,1,1,0097fe60,1
246,246,0,1,1,ffc6fe1a,1
247,247,0,1,1,fe96fce9,1
248,248,0,1,1,004e0126,1
249,249,0,1,1,01d40062,1
250,250,0,1,1,021fff52,1
251,251,0,1,1,015bfcbe,1
252,252,0,1,1,ff45012c,1
253,253,0,1,1,002d016a,1
254,254,0,1,1,014501c4,1
255,255,0,1,1,02a8fed8,1
256,256,0,1,1,fea0000d,1
257,257,0,1,1,fee100a4,1
258,258,0,1,1,ff760214,1
259,259,0,1,1,01e50105,1
260,260,0,1,1,ff03ffbe,1
261,261,0,1,1,febbff9c,1
262,262,0,1,1,fddf00f8,1
263,263,0,1,1,ff6c019e,1
264,264,0,1,1,ff7cfef0,1
265,265,0,1,1,ff50fe50,1
266,266,0,1,1,fe60fec4,1
267,267,0,1,1,fdc7ff90,1
